order_id,product_id,product_name,category,supplier_name,quantity,unit_price,total_amount,currency,order_date,delivery_date,country,address,order_status,payment_method,warehouse_code,lead_time_days,discount_pct,customer_email,customer_rating
ORD-000001,PROD-001,Safety Gloves L,Personal Care,fastship colombia,309.0,1323.045,-247311.24,COP,2024-07-08,2024-09-07,Peru,Lima,Delivered,Credit Card,WH-CAL-03,35.0,3.2,john.d@yahoo.com,2.2
ORD-000002,PRD-0007,Running Shoes M,Food & Beverage,Logistics Pro S.A.,195.0,552.94,107823.3,USD,2023-04-15,2023-05-11,Mexico,Monterrey,Cancelled,PayPal,WH-SCL-05,28.0,8.8,carlos.r@gmail.com,3.7
ORD-000003,PRD-0039,Protein Powder 2kg,Electronics,Pacific Trade SAS,81.0,662.16,53634.96,USD,2023-09-04,2023-09-17,Mexico,Monterrey,Cancelled,Unknown,WH-CAL-03,37.0,19.4,maria.g@yahoo.com,3.1
ORD-000004,PRD-0035,Mechanical Keyboard,Food & Beverage,Logistics Pro S.A.,302.0,576.21,174015.42,USD,2024-11-18,2024-12-02,Chile,Santiago,In Transit,PayPal,WH-BOG-01,7.0,32.0,luis.p@company.co,4.5
ORD-000005,PRD-0036,Office Chair Ergonomic,Electronics,FastShip Colombia,85.0,1961.26,166707.1,BRL,2022-11-14,2022-11-18,Chile,"Valparaíso, Chile - CP 8320000",Returned,Credit Card,WH-BOG-01,8.0,23.2,,2.6
ORD-000006,PRD-0021,Office Chair Ergonomic,Electronics,Andean Freightt Co.,36.0,2085.19,75066.84,USD,2023-09-06,2023-11-02,Colombia,Cali,Returned,Cash,WH-CAL-03,4.0,11.1,,4.8
ORD-000007,PRD-0003,Industrial Drill,Food & Beverage,Logistics Pro S.A.,400.0,1874.95,749980.0,COP,2022-12-29,,Brasil,Rio de Janeiro,In Transit,Credit Card,WH-LIM-04,30.0,34.9,ana.m@outlook.com,2.4
ORD-000008,PRD-0035,Industrial Drill,Apparel,Logistics Pro S.A.,311.0,479.25,21803.44,COP,2024-01-16,2024-03-15,Brasil,São Paulo,Pending,Cash,WH-MED-02,25.0,24.6,carlos.r@outlook.com,3.6
ORD-000009,PRD-0014,Solar Panel 250W,Apparel,Pacific Trade SAS,116.0,2459.92,285350.72,BRL,2024-04-28,2024-06-13,Peru,Lima,Unknown,Credit Card,WH-SCL-05,8.0,26.7,ana.m@company.co,4.0
ORD-000010,PRD-0016,LED Strip 5m,Apparel,Global Cargo Ltda,78.0,165.25,12889.5,BRL,2022-05-08,,Colombia,Cali,Unknown,PayPal,WH-LIM-04,39.0,10.9,sofia.v@company.co,4.9
ORD-000011,PRD-0038,Bluetooth Speaker,Industrial,Global Cargo Ltda,386.0,1178.42,454870.12,MXN,2023-04-05,2023-05-17,Mexico,Ciudad de México,Cancelled,Bank Transfer,WH-CAL-03,8.0,12.4,luis.p@company.co,3.8
ORD-000012,PRD-0050,Coffee Maker 12cup,Personal Care,Andean Freight Co.,259.0,908.66,,BRL,2022-11-10,2022-12-22,Chile,Valparaíso,Pending,Bank Transfer,WH-LIM-04,40.0,19.8,john.d@outlook.com,2.1
ORD-000006,PRD-0047,Running Shoes M,Industrial,Unknown,340.0,1066.63,362654.2,BRL,2023-07-09,2023-08-25,Colombia,Cali,Cancelled,Cash,WH-CAL-03,1.0,1.8,maria.g@company.co,3.0
ORD-000013,PRD-0004,Coffee Maker 12cup,Industrial,Logistics Pro S.A.,128.0,1977.9,253171.2,BRL,2024-06-25,2024-07-23,Chile,Chile | Concepción | 8320000,Delivered,Bank Transfer,WH-LIM-04,19.0,11.3,maria.g@outlook.com,4.7
ORD-000014,PRD-0042,Wireless Headset,Apparel,Pacific Trade SAS,207.0,205.7,21602.0,MXN,2022-02-22,2022-04-17,Colombia,Cali,In Transit,PayPal,WH-SCL-05,6.0,12.8,ana.m@company.co,3.2
ORD-000015,PRD-0021,Office Chair Ergonomic,Electronics,Andean Freight Co.,227.0,2319.54,526535.58,USD,2022-01-03,2022-03-17,Brasil,Brasília,Delivered,Credit Card,WH-CAL-03,31.0,22.1,luis.p@yahoo.com,2.7
ORD-000016,PRD-0001,Coffee Maker 12cup,Industrial,Andean Freight Co.,165.0,960.51,158484.15,MXN,2024-08-26,2024-09-20,Mexico,Ciudad de México,Pending,PayPal,WH-BOG-01,42.0,31.3,ana.m@gmail.com,2.5
ORD-000017,PRD-0049,Protein Powder 2kg,Electroniics,Global Cargo Ltda,325.0,752.17,16219.41,MXN,2024-02-07,2024-05-03,Mexico,Ciudad de México,In Transit,Bank Transfer,WH-LIM-04,23.0,27.1,john.d@outlook.com,4.4
ORD-000018,PRD-0031,Office Chair Ergonomic,Food & Beverage,fastship colombia,382.0,2082.93,795679.26,COP,2023-12-23,2024-09-01,Mexico,Monterrey,Cancelled,Cash,WH-CAL-03,13.0,38.9,maria.g@outlook.com,2.2
ORD-000019,PRD-0030,Office Chair Ergonomic,Industrial,Global Cargo Ltda,189.0,2056.93,388759.77,COP,2024-08-23,,Chile,Santiago,Pending,Credit Card,WH-CAL-03,16.0,18.1,luis.p@company.co,3.6
ORD-000020,PRD-0018,Laptop Pro 15,Apparel,Global Cargo Ltda,98.0,233.73,22905.54,USD,2022-04-14,2022-04-23,Colombia,Cali,In Transit,Bank Transfer,WH-CAL-03,9.0,4.4,john.d@yahoo.com,3.0
ORD-000021,PRD-0008,Mechanical Keyboard,Personal Care,Pacific Trade SAS,235.0,2119.01,497967.35,BRL,2022-05-31,2022-06-10,Brasil,Brasília,Returned,PayPal,WH-BOG-01,36.0,18.1,ana.m@company.co,3.7
ORD-000022,PRD-0031,Office Chair Ergonomic,Food & Beverage,Pacific Trade SAS,448.0,1804.05,808214.4,MXN,2022-08-01,2022-09-13,Colombia,Cali,Returned,PayPal,WH-SCL-05,2.0,27.7,,1.3
