order_id;product_id;product_id_valid;product_name;category;supplier_name;quantity;unit_price;total_amount_corrected;currency;order_date;delivery_date;country;city;postal_code;order_status;payment_method;warehouse_code;lead_time_days;discount_pct;customer_email;customer_rating
ORD-000010;PRD-0016;t;LED Strip 5m;Apparel;Global Cargo Ltda;78.00;165.25;12889.50;BRL;8/05/2022;;Colombia;Cali;;Unknown;PayPal;WH-LIM-04;39.00;10.90;sofia.v@company.co;4.90
ORD-000041;PRD-0049;t;Industrial Drill;Personal Care;Logistics Pro S.A.;79.00;618.10;48829.90;MXN;6/12/2023;;Peru;Cusco;;Returned;Credit Card;WH-BOG-01;1.00;9.30;;3.70
ORD-000909;PRD-0048;t;Protein Powder 2kg;Apparel;Global Cargo Ltda;36680.00;249.36;9146524.80;COP;21/07/2024;10/08/2024;Peru;Arequipa;;Delivered;PayPal;WH-SCL-05;32.00;38.20;luis.p@outlook.com;2.50
ORD-000943;PRD-0050;t;Solar Panel 250W;Apparel;Pacific Trade SAS;225.00;1437.53;323444.25;MXN;18/03/2023;30/04/2023;Brasil;SÃ£o Paulo;;Returned;PayPal;WH-SCL-05;8.00;30.20;john.d@gmail.com;1.70
ORD-000944;PRD-0039;t;Solar Panel 250W;Personal Care;Unknown;432.00;1314.05;567669.60;USD;7/06/2024;14/07/2024;Brasil;Rio de Janeiro;;Delivered;Credit Card;WH-MED-02;24.00;38.10;john.d@company.co;4.70
ORD-000945;PRD-0010;t;Wireless Headset;Industrial;Global Cargo Ltda;6.00;2140.89;12845.34;BRL;13/06/2024;18/07/2024;Brasil;Brasil;;Delivered;PayPal;WH-MED-02;32.00;20.40;;4.50
ORD-000946;PRD-0010;t;Coffee Maker 12cup;Apparel;Global Cargo Ltda;43.00;937.18;40298.74;COP;4/03/2023;10/03/2023;Chile;Santiago;;Cancelled;Credit Card;WH-540;8.00;5.60;sofia.v@gmail.com;3.70
ORD-000947;PRD-0034;t;Wireless Headset;Personal Care;Pacific Trade SAS;400.00;365.55;146220.00;BRL;17/04/2022;24/04/2022;Mexico;Ciudad de MÃ©xico;;Pending;PayPal;WH-SCL-05;18.00;9.70;john.d@outlook.com;3.00
ORD-000948;PROD-001;f;Coffee Maker 12cup;Food & Beverage;Logistics Pro S.A.;4.00;981.39;3925.56;USD;10/11/2022;24/11/2022;Brasil;Calle 644;;Delivered;Cash;WH-456;24.00;17.10;maria.g@company.co;4.70
ORD-000949;PRD-0030;t;Wireless Headset;Apparel;Pacific Trade SAS;259.00;1955.41;506451.19;MXN;19/01/2023;30/01/2023;Colombia;Cali;;Cancelled;Bank Transfer;WH-SCL-05;16.00;20.40;john.d@outlook.com;4.10
ORD-000950;PRD-0028;t;Running Shoes M;Food & Beverage;Logistics Pro S.A.;467.00;729.78;340807.26;COP;28/03/2024;29/04/2024;Brasil;Rio de Janeiro;;In Transit;Bank Transfer;WH-BOG-01;25.00;33.90;sofia.v@company.co;3.10
ORD-000951;PRD-0035;t;Laptop Pro 15;Food & Beverage;Andean Freight Co.;59.00;413.82;24415.38;MXN;21/09/2023;11/11/2023;Mexico;Ciudad de MÃ©xico;;Delivered;PayPal;WH-LIM-04;23.00;37.90;john.d@yahoo.com;3.80
ORD-000952;PRD-0034;t;Protein Powder 2kg;Apparel;Andean Freight Co.;302.00;1269.43;383367.86;COP;5/11/2023;14/12/2023;Brasil;BrasÃ­lia;;Pending;Bank Transfer;WH-CAL-03;23.00;3.50;sofia.v@company.co;2.30
ORD-000953;PRD-0023;t;Wireless Headset;Electronics;Logistics Pro S.A.;243.00;1296.68;315093.24;USD;3/10/2024;;Peru;Arequipa;;Pending;Cash;WH-CAL-03;35.00;22.00;luis.p@company.co;1.20
ORD-000954;PRD-0034;t;Office Chair Ergonomic;Industrial;Logistics Pro S.A.;259.00;854.26;221253.34;USD;13/02/2024;30/03/2024;Chile;ConcepciÃ³n;;In Transit;Credit Card;WH-LIM-04;30.00;19.80;john.d@gmail.com;2.50
