order_id;product_id;product_id_valid;product_name;category;supplier_name;quantity;unit_price;total_amount_corrected;currency;order_date;delivery_date;country;city;postal_code;order_status;payment_method;warehouse_code;lead_time_days;discount_pct;customer_email;customer_rating
ORD-000010;PRD-0016;t;LED Strip 5m;Apparel;Global Cargo Ltda;7800;16525;1288950;BRL;8/05/2022;;Colombia;Cali;;Unknown;PayPal;WH-LIM-04;3900;1090;sofia.v@company.co;490
ORD-000041;PRD-0049;t;Industrial Drill;Personal Care;Logistics Pro S.A.;7900;61810;4882990;MXN;6/12/2023;;Peru;Cusco;;Returned;Credit Card;WH-BOG-01;100;930;;370
ORD-000909;PRD-0048;t;Protein Powder 2kg;Apparel;Global Cargo Ltda;3668000;24936;914652480;COP;21/07/2024;10/08/2024;Peru;Arequipa;;Delivered;PayPal;WH-SCL-05;3200;3820;luis.p@outlook.com;250
ORD-000943;PRD-0050;t;Solar Panel 250W;Apparel;Pacific Trade Sas;22500;143753;32344425;MXN;18/03/2023;30/04/2023;Brasil;SÃ£o Paulo;;Returned;PayPal;WH-SCL-05;800;3020;john.d@gmail.com;170
ORD-000944;PRD-0039;t;Solar Panel 250W;Personal Care;Unknown;43200;131405;56766960;USD;7/06/2024;14/07/2024;Brasil;Rio de Janeiro;;Delivered;Credit Card;WH-MED-02;2400;3810;john.d@company.co;470
ORD-000945;PRD-0010;t;Wireless Headset;Industrial;Global Cargo Ltda;600;214089;1284534;BRL;13/06/2024;18/07/2024;Brasil;Brasil;;Delivered;PayPal;WH-MED-02;3200;2040;;450
ORD-000946;PRD-0010;t;Coffee Maker 12cup;Apparel;Global Cargo Ltda;4300;93718;4029874;COP;4/03/2023;10/03/2023;Chile;Santiago;;Cancelled;Credit Card;WH-540;800;560;sofia.v@gmail.com;370
ORD-000947;PRD-0034;t;Wireless Headset;Personal Care;Pacific Trade Sas;40000;36555;14622000;BRL;17/04/2022;24/04/2022;Mexico;Ciudad de MÃ©xico;;Pending;PayPal;WH-SCL-05;1800;970;john.d@outlook.com;300
ORD-000948;PROD-001;f;Coffee Maker 12cup;Food & Beverage;Logistics Pro S.A.;400;98139;392556;USD;10/11/2022;24/11/2022;Brasil;Calle 644;;Delivered;Cash;WH-456;2400;1710;maria.g@company.co;470
ORD-000949;PRD-0030;t;Wireless Headset;Apparel;Pacific Trade Sas;25900;195541;50645119;MXN;19/01/2023;30/01/2023;Colombia;Cali;;Cancelled;Bank Transfer;WH-SCL-05;1600;2040;john.d@outlook.com;410
ORD-000950;PRD-0028;t;Running Shoes M;Food & Beverage;Logistics Pro S.A.;46700;72978;34080726;COP;28/03/2024;29/04/2024;Brasil;Rio de Janeiro;;In Transit;Bank Transfer;WH-BOG-01;2500;3390;sofia.v@company.co;310
ORD-000951;PRD-0035;t;Laptop Pro 15;Food & Beverage;Andean Freight Co.;5900;41382;2441538;MXN;21/09/2023;11/11/2023;Mexico;Ciudad de MÃ©xico;;Delivered;PayPal;WH-LIM-04;2300;3790;john.d@yahoo.com;380
ORD-000952;PRD-0034;t;Protein Powder 2kg;Apparel;Andean Freight Co.;30200;126943;38336786;COP;5/11/2023;14/12/2023;Brasil;BrasÃ­lia;;Pending;Bank Transfer;WH-CAL-03;2300;350;sofia.v@company.co;230
ORD-000953;PRD-0023;t;Wireless Headset;Electronics;Logistics Pro S.A.;24300;129668;31509324;USD;3/10/2024;;Peru;Arequipa;;Pending;Cash;WH-CAL-03;3500;2200;luis.p@company.co;120
ORD-000954;PRD-0034;t;Office Chair Ergonomic;Industrial;Logistics Pro S.A.;25900;85426;22125334;USD;13/02/2024;30/03/2024;Chile;ConcepciÃ³n;;In Transit;Credit Card;WH-LIM-04;3000;1980;john.d@gmail.com;250
ORD-000955;PRD-0017;t;Protein Powder 2kg;Apparel;Global Cargo Ltda;17700;222212;39331524;USD;3/02/2023;15/03/2023;Brasil;SÃ£o Paulo;;Returned;PayPal;WH-BOG-01;4200;3410;luis.p@gmail.com;390
